support,itemsets
0.2600053961687202,fear_of_job_loss_to_ai=alto + sleep_hours=medio + stress_level=medio
0.2598255238780466,fear_of_job_loss_to_ai=alto + seeks_career_counseling=no + sleep_hours=medio
0.25973558773270977,fear_of_job_loss_to_ai=alto + motivation_score=medio
0.25964565158737296,degree_type=b.tech/b.e. + fear_of_job_loss_to_ai=alto
0.25955571544203615,college_tier=tier_3 + seeks_career_counseling=no + weekly_job_application_count=alto
0.2589261624246785,degree_type=b.tech/b.e. + seeks_career_counseling=no + weekly_job_application_count=alto
0.25883622627934166,fear_of_job_loss_to_ai=alto + motivation_score=bajo
0.25865635398866804,ai_dependency_score=bajo
0.25865635398866804,daily_study_hours=medio + stream=cs/it
0.2583865455526576,placement_anxiety_score=alto + resume_confidence_score=bajo + weekly_job_application_count=alto
0.2581167371166472,motivation_score=medio + seeks_career_counseling=no + weekly_job_application_count=alto
0.25784692868063674,ai_replaces_own_thinking_score=medio + stream=cs/it
0.2576670563899631,interview_anxiety_score=medio + weekly_job_application_count=alto
0.2573073118086159,daily_study_hours=bajo + sleep_hours=medio
0.25721737566327907,ai_dependency_score=medio + resume_confidence_score=bajo
0.25694756722726864,seeks_career_counseling=no + uses_ai_for_assignments=rarely
0.25640795035524777,burnout_cat=alto + fear_of_job_loss_to_ai=alto
0.25604820577390053,daily_ai_tool_usage_hrs=alto + stream=cs/it
0.25604820577390053,career_clarity_score=medio + resume_confidence_score=bajo
0.2558683334832269,resume_confidence_score=bajo + stress_level=medio + weekly_job_application_count=alto
0.25541865275654285,daily_study_hours=medio + social_media_hrs_per_day=medio
0.25532871661120604,ai_replaces_own_thinking_score=bajo + uses_ai_for_assignments=rarely
0.2551488443205324,fear_of_job_loss_to_ai=alto + interview_anxiety_score=alto + placement_anxiety_score=alto + weekly_job_application_count=alto
0.2547890997391852,career_clarity_score=alto
0.25460922744851155,ai_replaces_own_thinking_score=bajo + stress_level=medio + weekly_job_application_count=alto
0.2541595467218275,college_tier=tier_2 + seeks_career_counseling=no
0.25379980214048026,ai_replaces_own_thinking_score=bajo + degree_type=b.tech/b.e.
0.25379980214048026,seeks_career_counseling=no + stream=cs/it + weekly_job_application_count=alto
0.25370986599514345,burnout_cat=medio + stress_level=medio + weekly_job_application_count=alto
0.25361992984980664,placement_anxiety_score=medio + sleep_hours=medio
0.25299037683244896,burnout_cat=medio + seeks_career_counseling=no + stress_level=medio
0.2524507599604281,sleep_hours=medio + uses_ai_for_assignments=rarely
0.2524507599604281,burnout_cat=medio + career_clarity_score=medio
0.25218095152441766,ai_dependency_score=medio + daily_study_hours=medio
0.25200107923374404,burnout_cat=medio + daily_ai_tool_usage_hrs=medio
0.25155139850706,resume_confidence_score=medio + seeks_career_counseling=no + sleep_hours=medio
0.25155139850706,ai_dependency_score=medio + seeks_career_counseling=no + weekly_job_application_count=alto
0.2509218454897023,daily_ai_tool_usage_hrs=medio + seeks_career_counseling=no + sleep_hours=medio
0.2506520370536919,resume_confidence_score=bajo + seeks_career_counseling=no + sleep_hours=medio
0.25047216476301826,ai_dependency_score=medio + burnout_cat=medio
0.2500224840363342,internship_experience=2 + weekly_job_application_count=alto
0.2499325478909974,sleep_hours=medio + social_media_hrs_per_day=medio + weekly_job_application_count=alto
